AvgGlobalHorizSummerSol,AvgGlobalHorizWinterSol,AvgGlobalHorizSpringEq,minutes,AvgGlobalHorizAutumnEq
1037.1779999999999,414.2915999999999,654.998,690,864.4560000000001
1036.1979999999999,407.9796,667.6899999999999,725,923.5719999999999
925.652,385.613,610.314,610,780.756
992.0719999999999,433.32939999999996,669.332,755,826.7379999999999
849.698,277.15200000000004,439.1388,855,596.6020000000001
1024.6399999999999,422.62219999999996,656.708,740,857.768
655.5719999999999,133.5186,322.0612,480,459.938
703.508,144.911,272.5408,910,414.092
823.43,242.5002,460.922,530,599.24
838.9300000000001,257.37800000000004,442.1134,540,639.358
1008.8960000000001,389.9698,637.016,640,802.736
406.02,0.6293199999999999,128.65900000000002,410,223.38400000000001
941.5800000000002,374.54440000000005,603.588,800,688.338
825.626,215.1996,372.8672,870,603.248
567.418,63.971940000000004,219.3058,450,359.552
920.392,352.0882,563.368,585,732.0559999999999
1010.0519999999999,409.79439999999994,626.762,665,818.568
965.3620000000001,337.2944,573.768,810,698.744
1025.692,426.2084,681.548,720,830.308
923.4680000000001,351.746,556.658,575,725.664
857.826,283.16859999999997,424.61800000000005,850,635.4019999999999
565.8620000000001,74.50659999999999,241.6012,940,325.498
503.742,37.7062,181.28160000000003,960,108.737
727.89,142.4502,304.45799999999997,905,425.044
934.392,321.4362,561.152,815,677.226
880.068,291.7236,528.066,840,653.27
863.0260000000001,328.96479999999997,558.082,570,715.784
985.1600000000001,393.5156,651.856,620,782.4820000000001
496.492,17.97126,139.257,970,110.6174
951.378,407.446,540.418,780,826.24
932.574,394.05100000000004,622.464,615,773.38
532.8140000000001,61.198800000000006,207.49120000000002,950,287.48999999999995
777.866,203.2462,419.816,885,527.2180000000001
1033.56,412.5202000000001,657.924,685,827.816
759.1540000000001,157.90399999999997,301.27299999999997,900,441.492
838.26,272.9156,494.38,550,661.236
978.8800000000001,408.87,616.4159999999999,785,826.0799999999999
540.0419999999999,45.639199999999995,181.925,955,152.97999999999996
1035.6,411.05240000000003,700.342,735,874.7560000000001
994.174,366.595,548.254,805,741.57
978.118,420.23400000000004,612.4820000000001,765,830.866
691.054,165.3464,370.9108,495,565.53
1038.1,423.9216,682.8340000000001,730,903.3700000000001
996.762,412.6,677.192,770,836.6900000000002
475.392,5.38326,110.26679999999999,975,101.6926
999.2579999999998,428.61220000000003,662.03,750,825.378
772.3140000000001,210.89360000000002,387.702,880,492.154
370.21799999999996,3.5175099999999992,141.9314,415,226.862
800.646,265.94759999999997,485.12880000000007,545,661.142
998.03,408.997,642.5260000000001,675,843.762
587.346,74.5334,240.9372,455,376.628
948.5319999999999,405.262,572.972,790,738.6220000000001
894.6200000000001,294.62579999999997,537.53,560,679.906
906.564,321.3244,561.738,825,706.3199999999999
588.9379999999999,94.04,270.45439999999996,935,347.53000000000003
787.598,217.7348,392.2868,520,595.6980000000001
761.662,185.75560000000002,359.95400000000006,890,484.12399999999997
492.36800000000005,26.450892,163.9056,430,276.204
1039.2,429.0713999999999,701.552,710,814.6500000000001
734.4280000000001,171.22899999999998,382.78999999999996,500,537.7679999999999
888.528,398.1734,632.312,625,766.95
869.8520000000001,277.634,523.638,555,662.514
932.384,393.36640000000006,622.2400000000001,635,768.882
923.9859999999999,320.22220000000004,550.02,820,716.848
1039.104,416.1388,676.798,700,855.722
595.7059999999999,108.40540000000001,289.867,470,446.16
640.7880000000001,133.053,306.2184,915,403.586
636.246,121.21400000000001,306.0644,475,427.3
609.6759999999999,119.8382,287.93780000000004,920,391.53000000000003
1008.7280000000001,388.21500000000003,625.5719999999999,645,847.092
1021.3199999999999,440.24300000000005,683.172,745,850.792
1031.234,411.82399999999996,665.1360000000001,680,873.8060000000002
820.07,221.93919999999997,356.8362,875,579.118
1038.42,421.3702,676.448,705,807.8459999999999
887.5139999999999,295.6524,483.058,845,642.61
945.3679999999998,369.9848,605.714,600,743.7940000000001
733.2860000000001,182.6918,384.9116,505,558.434
937.722,361.4482,606.954,595,660.46
992.1139999999999,405.3462,644.2080000000001,655,839.184
799.108,228.33340000000004,430.41639999999995,525,585.418
459.15,0.31451799999999996,96.75720000000001,985,91.12840000000001
1001.912,433.158,666.8340000000001,760,812.882
680.024,142.61759999999998,337.1904,485,500.22800000000007
770.588,208.24699999999999,416.8414000000001,515,580.754
927.4800000000001,381.8232,600.8100000000001,795,702.05
510.5280000000001,34.37448,172.6696,435,297.408
596.0219999999999,95.6514,261.5488,930,367.25
949.6120000000001,346.85,594.644,590,737.51
744.096,176.56119999999999,353.046,895,465.83600000000007
1034.5539999999999,416.3776,666.462,695,816.5
547.716,69.15,235.362,945,302.004
837.222,310.7254,550.01,565,681.1560000000001
1009.684,388.1442,643.5840000000001,650,832.076
828.6119999999999,244.03979999999996,391.64459999999997,860,616.144
1007.9,393.5706,634.74,630,882.406
483.9700000000001,24.1596,169.7764,965,110.40919999999998
1019.2520000000001,408.6222,636.706,660,828.74
829.5039999999999,240.3696,390.07640000000004,865,633.2059999999999
474.72200000000004,2.62428,101.2414,980,88.8298
821.356,250.49699999999999,467.94660000000005,535,598.292
932.366,322.15959999999995,551.3,830,666.028
534.598,42.75226,202.8706,440,341.352
602.6120000000001,114.878,282.7118,925,382.332
939.024,410.8048,630.644,670,818.558
403.47999999999996,9.172127999999999,152.49259999999998,420,239.404
976.39,415.03200000000004,701.364,775,814.4
939.158,347.1366,570.03,580,724.204
601.0580000000001,86.6548,256.8312,460,402.78
904.488,312.30620000000005,515.11,835,652.9300000000001
1015.0619999999999,432.4898,711.0799999999999,715,802.5379999999999
436.534,18.5413,161.8922,425,261.94
938.2860000000001,378.5548,614.384,605,780.746
553.562,52.688005999999994,226.62060000000002,445,365.908
690.482,154.58339999999998,339.39639999999997,490,527.7819999999999
586.3019999999999,96.6714,268.45619999999997,465,395.86800000000005
768.14,197.51179999999997,385.9172,510,560.8520000000001
