YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours),,,,,,
1990,NV,Total Electric Power Industry,Total,"20,050,685",,,,,,
1990,NV,Total Electric Power Industry,Coal,"15,053,277",,,,,,
1990,NV,Total Electric Power Industry,Geothermal,"761,192",,,,,,
1990,NV,Total Electric Power Industry,Hydroelectric Conventional,"1,735,081",,,,,,
1990,NV,Total Electric Power Industry,Natural Gas,"2,217,027",,,,,,
1990,NV,Total Electric Power Industry,Petroleum,"284,108",,,,,,
1990,NV,"Electric Generators, Independent Power Producers",Total,"764,425",,,,,,
1990,NV,"Electric Generators, Independent Power Producers",Geothermal,"761,192",,,,,,
1990,NV,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"3,233",,,,,,
1990,NV,"Electric Generators, Electric Utilities",Total,"19,286,260",,,,,,
1990,NV,"Electric Generators, Electric Utilities",Coal,"15,053,277",,,,,,
1990,NV,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,731,848",,,,,,
1990,NV,"Electric Generators, Electric Utilities",Natural Gas,"2,217,027",,,,,,
1990,NV,"Electric Generators, Electric Utilities",Petroleum,"284,108",,,,,,
1991,NV,Total Electric Power Industry,Total,"22,065,204",,,,,,
1991,NV,Total Electric Power Industry,Coal,"16,365,730",,,,,,
1991,NV,Total Electric Power Industry,Geothermal,"995,408",,,,,,
1991,NV,Total Electric Power Industry,Hydroelectric Conventional,"2,365,050",,,,,,
1991,NV,Total Electric Power Industry,Natural Gas,"2,094,971",,,,,,
1991,NV,Total Electric Power Industry,Other,"1,568",,,,,,
1991,NV,Total Electric Power Industry,Petroleum,"242,477",,,,,,
1991,NV,"Electric Generators, Independent Power Producers",Total,"998,641",,,,,,
1991,NV,"Electric Generators, Independent Power Producers",Geothermal,"995,408",,,,,,
1991,NV,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"3,233",,,,,,
1991,NV,"Electric Generators, Electric Utilities",Total,"20,922,439",,,,,,
1991,NV,"Electric Generators, Electric Utilities",Coal,"16,365,730",,,,,,
1991,NV,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"2,361,817",,,,,,
1991,NV,"Electric Generators, Electric Utilities",Natural Gas,"1,956,571",,,,,,
1991,NV,"Electric Generators, Electric Utilities",Petroleum,"238,321",,,,,,
1991,NV,"Combined Heat and Power, Electric Power",Total,"144,124",,,,,,
1991,NV,"Combined Heat and Power, Electric Power",Natural Gas,"138,400",,,,,,
1991,NV,"Combined Heat and Power, Electric Power",Other,"1,568",,,,,,
1991,NV,"Combined Heat and Power, Electric Power",Petroleum,"4,156",,,,,,
1992,NV,Total Electric Power Industry,Total,"23,347,543",,,,,,
1992,NV,Total Electric Power Industry,Coal,"16,443,169",,,,,,
1992,NV,Total Electric Power Industry,Geothermal,"1,177,972",,,,,,
1992,NV,Total Electric Power Industry,Hydroelectric Conventional,"1,985,691",,,,,,
1992,NV,Total Electric Power Industry,Natural Gas,"3,392,197",,,,,,
1992,NV,Total Electric Power Industry,Other,"20,929",,,,,,
1992,NV,Total Electric Power Industry,Petroleum,"327,585",,,,,,
1992,NV,"Electric Generators, Independent Power Producers",Total,"1,181,205",,,,,,
1992,NV,"Electric Generators, Independent Power Producers",Geothermal,"1,177,972",,,,,,
1992,NV,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"3,233",,,,,,
1992,NV,"Electric Generators, Electric Utilities",Total,"20,962,974",,,,,,
1992,NV,"Electric Generators, Electric Utilities",Coal,"16,443,169",,,,,,
1992,NV,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,982,458",,,,,,
1992,NV,"Electric Generators, Electric Utilities",Natural Gas,"2,209,762",,,,,,
1992,NV,"Electric Generators, Electric Utilities",Petroleum,"327,585",,,,,,
1992,NV,"Combined Heat and Power, Electric Power",Total,"1,203,364",,,,,,
1992,NV,"Combined Heat and Power, Electric Power",Natural Gas,"1,182,435",,,,,,
1992,NV,"Combined Heat and Power, Electric Power",Other,"20,929",,,,,,
1993,NV,Total Electric Power Industry,Total,"23,502,472",,,,,,
1993,NV,Total Electric Power Industry,Coal,"15,627,860",,,,,,
1993,NV,Total Electric Power Industry,Geothermal,"1,540,055",,,,,,
1993,NV,Total Electric Power Industry,Hydroelectric Conventional,"1,972,180",,,,,,
1993,NV,Total Electric Power Industry,Natural Gas,"4,033,198",,,,,,
1993,NV,Total Electric Power Industry,Other,"2,198",,,,,,
1993,NV,Total Electric Power Industry,Petroleum,"326,981",,,,,,
1993,NV,"Electric Generators, Independent Power Producers",Total,"1,552,282",,,,,,
1993,NV,"Electric Generators, Independent Power Producers",Geothermal,"1,540,055",,,,,,
1993,NV,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"12,227",,,,,,
1993,NV,"Electric Generators, Electric Utilities",Total,"19,820,333",,,,,,
1993,NV,"Electric Generators, Electric Utilities",Coal,"15,627,860",,,,,,
1993,NV,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,959,953",,,,,,
1993,NV,"Electric Generators, Electric Utilities",Natural Gas,"1,986,014",,,,,,
1993,NV,"Electric Generators, Electric Utilities",Petroleum,"246,506",,,,,,
1993,NV,"Combined Heat and Power, Electric Power",Total,"2,129,857",,,,,,
1993,NV,"Combined Heat and Power, Electric Power",Natural Gas,"2,047,184",,,,,,
1993,NV,"Combined Heat and Power, Electric Power",Other,"2,198",,,,,,
1993,NV,"Combined Heat and Power, Electric Power",Petroleum,"80,475",,,,,,
1994,NV,Total Electric Power Industry,Total,"24,517,727",,,,,,
1994,NV,Total Electric Power Industry,Coal,"15,324,714",,,,,,
1994,NV,Total Electric Power Industry,Geothermal,"1,494,930",,,,,,
1994,NV,Total Electric Power Industry,Hydroelectric Conventional,"1,875,889",,,,,,
1994,NV,Total Electric Power Industry,Natural Gas,"5,629,626",,,,,,
1994,NV,Total Electric Power Industry,Other,"24,888",,,,,,
1994,NV,Total Electric Power Industry,Petroleum,"167,680",,,,,,
1994,NV,"Electric Generators, Independent Power Producers",Total,"1,565,207",,,,,,
1994,NV,"Electric Generators, Independent Power Producers",Geothermal,"1,494,930",,,,,,
1994,NV,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"10,129",,,,,,
1994,NV,"Electric Generators, Independent Power Producers",Natural Gas,"58,914",,,,,,
1994,NV,"Electric Generators, Independent Power Producers",Petroleum,"1,234",,,,,,
1994,NV,"Electric Generators, Electric Utilities",Total,"20,519,076",,,,,,
1994,NV,"Electric Generators, Electric Utilities",Coal,"15,324,714",,,,,,
1994,NV,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,865,760",,,,,,
1994,NV,"Electric Generators, Electric Utilities",Natural Gas,"3,162,156",,,,,,
1994,NV,"Electric Generators, Electric Utilities",Petroleum,"166,446",,,,,,
1994,NV,"Combined Heat and Power, Electric Power",Total,"2,433,444",,,,,,
1994,NV,"Combined Heat and Power, Electric Power",Natural Gas,"2,408,556",,,,,,
1994,NV,"Combined Heat and Power, Electric Power",Other,"24,888",,,,,,
1995,NV,Total Electric Power Industry,Total,"23,963,994",,,,,,
1995,NV,Total Electric Power Industry,Coal,"13,971,824",,,,,,
1995,NV,Total Electric Power Industry,Geothermal,"1,553,696",,,,,,
1995,NV,Total Electric Power Industry,Hydroelectric Conventional,"1,941,534",,,,,,
1995,NV,Total Electric Power Industry,Natural Gas,"6,443,753",,,,,,
1995,NV,Total Electric Power Industry,Other,"26,634",,,,,,
1995,NV,Total Electric Power Industry,Petroleum,"26,553",,,,,,
1995,NV,"Electric Generators, Independent Power Producers",Total,"1,610,693",,,,,,
1995,NV,"Electric Generators, Independent Power Producers",Geothermal,"1,553,696",,,,,,
1995,NV,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"19,093",,,,,,
1995,NV,"Electric Generators, Independent Power Producers",Natural Gas,"37,900",,,,,,
1995,NV,"Electric Generators, Independent Power Producers",Petroleum,4,,,,,,
1995,NV,"Electric Generators, Electric Utilities",Total,"19,997,354",,,,,,
1995,NV,"Electric Generators, Electric Utilities",Coal,"13,971,824",,,,,,
1995,NV,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,922,441",,,,,,
1995,NV,"Electric Generators, Electric Utilities",Natural Gas,"4,076,540",,,,,,
1995,NV,"Electric Generators, Electric Utilities",Petroleum,"26,549",,,,,,
1995,NV,"Combined Heat and Power, Industrial Power",Total,138,,,,,,
1995,NV,"Combined Heat and Power, Industrial Power",Natural Gas,138,,,,,,
1995,NV,"Combined Heat and Power, Electric Power",Total,"2,355,809",,,,,,
1995,NV,"Combined Heat and Power, Electric Power",Natural Gas,"2,329,175",,,,,,
1995,NV,"Combined Heat and Power, Electric Power",Other,"26,634",,,,,,
1996,NV,Total Electric Power Industry,Total,"25,580,408",,,,,,
1996,NV,Total Electric Power Industry,Coal,"14,656,868",,,,,,
1996,NV,Total Electric Power Industry,Geothermal,"1,554,683",,,,,,
1996,NV,Total Electric Power Industry,Hydroelectric Conventional,"2,164,467",,,,,,
1996,NV,Total Electric Power Industry,Natural Gas,"7,083,256",,,,,,
1996,NV,Total Electric Power Industry,Other,"25,154",,,,,,
1996,NV,Total Electric Power Industry,Petroleum,"95,980",,,,,,
1996,NV,"Electric Generators, Independent Power Producers",Total,"1,762,060",,,,,,
1996,NV,"Electric Generators, Independent Power Producers",Geothermal,"1,554,683",,,,,,
1996,NV,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"21,165",,,,,,
1996,NV,"Electric Generators, Independent Power Producers",Natural Gas,"184,043",,,,,,
1996,NV,"Electric Generators, Independent Power Producers",Petroleum,"2,169",,,,,,
1996,NV,"Electric Generators, Electric Utilities",Total,"21,362,057",,,,,,
1996,NV,"Electric Generators, Electric Utilities",Coal,"14,656,868",,,,,,
1996,NV,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"2,143,302",,,,,,
1996,NV,"Electric Generators, Electric Utilities",Natural Gas,"4,468,076",,,,,,
1996,NV,"Electric Generators, Electric Utilities",Petroleum,"93,811",,,,,,
1996,NV,"Combined Heat and Power, Industrial Power",Total,138,,,,,,
1996,NV,"Combined Heat and Power, Industrial Power",Natural Gas,138,,,,,,
1996,NV,"Combined Heat and Power, Electric Power",Total,"2,456,153",,,,,,
1996,NV,"Combined Heat and Power, Electric Power",Natural Gas,"2,430,999",,,,,,
1996,NV,"Combined Heat and Power, Electric Power",Other,"25,154",,,,,,
1997,NV,Total Electric Power Industry,Total,"27,031,522",,,,,,
1997,NV,Total Electric Power Industry,Coal,"15,250,606",,,,,,
1997,NV,Total Electric Power Industry,Geothermal,"1,596,001",,,,,,
1997,NV,Total Electric Power Industry,Hydroelectric Conventional,"2,586,974",,,,,,
1997,NV,Total Electric Power Industry,Natural Gas,"7,557,814",,,,,,
1997,NV,Total Electric Power Industry,Other,"8,182",,,,,,
1997,NV,Total Electric Power Industry,Petroleum,"31,945",,,,,,
1997,NV,"Electric Generators, Independent Power Producers",Total,"1,830,940",,,,,,
1997,NV,"Electric Generators, Independent Power Producers",Geothermal,"1,596,001",,,,,,
1997,NV,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"19,523",,,,,,
1997,NV,"Electric Generators, Independent Power Producers",Natural Gas,"214,627",,,,,,
1997,NV,"Electric Generators, Independent Power Producers",Petroleum,789,,,,,,
1997,NV,"Electric Generators, Electric Utilities",Total,"22,869,773",,,,,,
1997,NV,"Electric Generators, Electric Utilities",Coal,"15,250,606",,,,,,
1997,NV,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"2,567,451",,,,,,
1997,NV,"Electric Generators, Electric Utilities",Natural Gas,"5,020,560",,,,,,
1997,NV,"Electric Generators, Electric Utilities",Petroleum,"31,156",,,,,,
1997,NV,"Combined Heat and Power, Industrial Power",Total,138,,,,,,
1997,NV,"Combined Heat and Power, Industrial Power",Natural Gas,138,,,,,,
1997,NV,"Combined Heat and Power, Electric Power",Total,"2,330,671",,,,,,
1997,NV,"Combined Heat and Power, Electric Power",Natural Gas,"2,322,489",,,,,,
1997,NV,"Combined Heat and Power, Electric Power",Other,"8,182",,,,,,
1998,NV,Total Electric Power Industry,Total,"30,613,520",,,,,,
1998,NV,Total Electric Power Industry,Coal,"17,161,341",,,,,,
1998,NV,Total Electric Power Industry,Geothermal,"1,537,094",,,,,,
1998,NV,Total Electric Power Industry,Hydroelectric Conventional,"3,166,325",,,,,,
1998,NV,Total Electric Power Industry,Natural Gas,"8,690,829",,,,,,
1998,NV,Total Electric Power Industry,Other,"6,399",,,,,,
1998,NV,Total Electric Power Industry,Petroleum,"51,532",,,,,,
1998,NV,"Electric Generators, Independent Power Producers",Total,"1,749,040",,,,,,
1998,NV,"Electric Generators, Independent Power Producers",Geothermal,"1,537,094",,,,,,
1998,NV,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"14,910",,,,,,
1998,NV,"Electric Generators, Independent Power Producers",Natural Gas,"195,789",,,,,,
1998,NV,"Electric Generators, Independent Power Producers",Petroleum,"1,247",,,,,,
1998,NV,"Electric Generators, Electric Utilities",Total,"26,552,567",,,,,,
1998,NV,"Electric Generators, Electric Utilities",Coal,"17,161,341",,,,,,
1998,NV,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"3,151,415",,,,,,
1998,NV,"Electric Generators, Electric Utilities",Natural Gas,"6,189,526",,,,,,
1998,NV,"Electric Generators, Electric Utilities",Petroleum,"50,285",,,,,,
1998,NV,"Combined Heat and Power, Electric Power",Total,"2,311,913",,,,,,
1998,NV,"Combined Heat and Power, Electric Power",Natural Gas,"2,305,514",,,,,,
1998,NV,"Combined Heat and Power, Electric Power",Other,"6,399",,,,,,
1999,NV,Total Electric Power Industry,Total,"30,532,131",,,,,,
1999,NV,Total Electric Power Industry,Coal,"16,907,530",,,,,,
1999,NV,Total Electric Power Industry,Geothermal,"1,414,912",,,,,,
1999,NV,Total Electric Power Industry,Hydroelectric Conventional,"2,827,671",,,,,,
1999,NV,Total Electric Power Industry,Natural Gas,"9,346,541",,,,,,
1999,NV,Total Electric Power Industry,Petroleum,"35,477",,,,,,
1999,NV,"Electric Generators, Independent Power Producers",Total,"1,711,718",,,,,,
1999,NV,"Electric Generators, Independent Power Producers",Geothermal,"1,414,912",,,,,,
1999,NV,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"20,509",,,,,,
1999,NV,"Electric Generators, Independent Power Producers",Natural Gas,"276,238",,,,,,
1999,NV,"Electric Generators, Independent Power Producers",Petroleum,59,,,,,,
1999,NV,"Electric Generators, Electric Utilities",Total,"26,485,602",,,,,,
1999,NV,"Electric Generators, Electric Utilities",Coal,"16,907,530",,,,,,
1999,NV,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"2,807,162",,,,,,
1999,NV,"Electric Generators, Electric Utilities",Natural Gas,"6,735,492",,,,,,
1999,NV,"Electric Generators, Electric Utilities",Petroleum,"35,418",,,,,,
1999,NV,"Combined Heat and Power, Electric Power",Total,"2,334,811",,,,,,
1999,NV,"Combined Heat and Power, Electric Power",Natural Gas,"2,334,811",,,,,,
2000,NV,Total Electric Power Industry,Total,"35,484,915",,,,,,
2000,NV,Total Electric Power Industry,Coal,"18,931,521",,,,,,
2000,NV,Total Electric Power Industry,Geothermal,"1,370,791",,,,,,
2000,NV,Total Electric Power Industry,Hydroelectric Conventional,"2,429,468",,,,,,
2000,NV,Total Electric Power Industry,Natural Gas,"12,667,189",,,,,,
2000,NV,Total Electric Power Industry,Other,"21,152",,,,,,
2000,NV,Total Electric Power Industry,Petroleum,"64,794",,,,,,
2000,NV,"Electric Generators, Independent Power Producers",Total,"3,690,617",,,,,,
2000,NV,"Electric Generators, Independent Power Producers",Geothermal,"1,370,791",,,,,,
2000,NV,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"13,870",,,,,,
2000,NV,"Electric Generators, Independent Power Producers",Natural Gas,"2,305,776",,,,,,
2000,NV,"Electric Generators, Independent Power Producers",Petroleum,180,,,,,,
2000,NV,"Electric Generators, Electric Utilities",Total,"29,341,675",,,,,,
2000,NV,"Electric Generators, Electric Utilities",Coal,"18,931,521",,,,,,
2000,NV,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"2,415,598",,,,,,
2000,NV,"Electric Generators, Electric Utilities",Natural Gas,"7,929,942",,,,,,
2000,NV,"Electric Generators, Electric Utilities",Petroleum,"64,614",,,,,,
2000,NV,"Combined Heat and Power, Electric Power",Total,"2,452,623",,,,,,
2000,NV,"Combined Heat and Power, Electric Power",Natural Gas,"2,431,471",,,,,,
2000,NV,"Combined Heat and Power, Electric Power",Other,"21,152",,,,,,
2001,NV,Total Electric Power Industry,Total,"33,875,966",,,,,,
2001,NV,Total Electric Power Industry,Coal,"17,736,970",,,,,,
2001,NV,Total Electric Power Industry,Geothermal,"1,199,873",,,,,,
2001,NV,Total Electric Power Industry,Hydroelectric Conventional,"2,513,722",,,,,,
2001,NV,Total Electric Power Industry,Natural Gas,"11,513,773",,,,,,
2001,NV,Total Electric Power Industry,Petroleum,"911,628",,,,,,
2001,NV,"Electric Generators, Independent Power Producers",Total,"3,534,581",,,,,,
2001,NV,"Electric Generators, Independent Power Producers",Geothermal,"1,199,873",,,,,,
2001,NV,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"9,141",,,,,,
2001,NV,"Electric Generators, Independent Power Producers",Natural Gas,"2,325,550",,,,,,
2001,NV,"Electric Generators, Independent Power Producers",Petroleum,17,,,,,,
2001,NV,"Electric Generators, Electric Utilities",Total,"27,896,065",,,,,,
2001,NV,"Electric Generators, Electric Utilities",Coal,"17,736,970",,,,,,
2001,NV,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"2,504,581",,,,,,
2001,NV,"Electric Generators, Electric Utilities",Natural Gas,"6,742,903",,,,,,
2001,NV,"Electric Generators, Electric Utilities",Petroleum,"911,611",,,,,,
2001,NV,"Combined Heat and Power, Electric Power",Total,"2,445,320",,,,,,
2001,NV,"Combined Heat and Power, Electric Power",Natural Gas,"2,445,320",,,,,,
2002,NV,Total Electric Power Industry,Total,"32,088,935",,,,,,
2002,NV,Total Electric Power Industry,Coal,"16,413,025",,,,,,
2002,NV,Total Electric Power Industry,Geothermal,"1,127,283",,,,,,
2002,NV,Total Electric Power Industry,Hydroelectric Conventional,"2,267,586",,,,,,
2002,NV,Total Electric Power Industry,Natural Gas,"12,210,660",,,,,,
2002,NV,Total Electric Power Industry,Other Gases,"44,909",,,,,,
2002,NV,Total Electric Power Industry,Petroleum,"25,472",,,,,,
2002,NV,"Electric Generators, Independent Power Producers",Total,"4,652,670",,,,,,
2002,NV,"Electric Generators, Independent Power Producers",Geothermal,"1,127,283",,,,,,
2002,NV,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"8,202",,,,,,
2002,NV,"Electric Generators, Independent Power Producers",Natural Gas,"3,517,185",,,,,,
2002,NV,"Electric Generators, Independent Power Producers",Petroleum,0,,,,,,
2002,NV,"Electric Generators, Electric Utilities",Total,"25,008,568",,,,,,
2002,NV,"Electric Generators, Electric Utilities",Coal,"16,413,025",,,,,,
2002,NV,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"2,259,384",,,,,,
2002,NV,"Electric Generators, Electric Utilities",Natural Gas,"6,310,687",,,,,,
2002,NV,"Electric Generators, Electric Utilities",Petroleum,"25,472",,,,,,
2002,NV,"Combined Heat and Power, Electric Power",Total,"2,427,697",,,,,,
2002,NV,"Combined Heat and Power, Electric Power",Natural Gas,"2,382,788",,,,,,
2002,NV,"Combined Heat and Power, Electric Power",Other Gases,"44,909",,,,,,
2003,NV,Total Electric Power Industry,Total,"33,194,888",,,,,,
2003,NV,Total Electric Power Industry,Coal,"17,085,959",,,,,,
2003,NV,Total Electric Power Industry,Geothermal,"1,065,711",,,,,,
2003,NV,Total Electric Power Industry,Hydroelectric Conventional,"1,756,705",,,,,,
2003,NV,Total Electric Power Industry,Natural Gas,"13,252,779",,,,,,
2003,NV,Total Electric Power Industry,Other Gases,"16,941",,,,,,
2003,NV,Total Electric Power Industry,Petroleum,"16,793",,,,,,
2003,NV,"Electric Generators, Independent Power Producers",Total,"5,324,279",,,,,,
2003,NV,"Electric Generators, Independent Power Producers",Geothermal,"1,065,711",,,,,,
2003,NV,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"8,767",,,,,,
2003,NV,"Electric Generators, Independent Power Producers",Natural Gas,"4,249,801",,,,,,
2003,NV,"Electric Generators, Independent Power Producers",Petroleum,0,,,,,,
2003,NV,"Electric Generators, Electric Utilities",Total,"24,634,871",,,,,,
2003,NV,"Electric Generators, Electric Utilities",Coal,"17,085,959",,,,,,
2003,NV,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,747,938",,,,,,
2003,NV,"Electric Generators, Electric Utilities",Natural Gas,"5,784,181",,,,,,
2003,NV,"Electric Generators, Electric Utilities",Petroleum,"16,793",,,,,,
2003,NV,"Combined Heat and Power, Electric Power",Total,"3,235,738",,,,,,
2003,NV,"Combined Heat and Power, Electric Power",Natural Gas,"3,218,797",,,,,,
2003,NV,"Combined Heat and Power, Electric Power",Other Gases,"16,941",,,,,,
2004,NV,Total Electric Power Industry,Total,"37,667,435",,,,,,
2004,NV,Total Electric Power Industry,Coal,"18,257,265",,,,,,
2004,NV,Total Electric Power Industry,Geothermal,"1,297,504",,,,,,
2004,NV,Total Electric Power Industry,Hydroelectric Conventional,"1,615,123",,,,,,
2004,NV,Total Electric Power Industry,Natural Gas,"16,380,743",,,,,,
2004,NV,Total Electric Power Industry,Other Gases,"21,033",,,,,,
2004,NV,Total Electric Power Industry,Petroleum,"95,766",,,,,,
2004,NV,"Electric Generators, Independent Power Producers",Total,"11,022,120",,,,,,
2004,NV,"Electric Generators, Independent Power Producers",Geothermal,"1,297,504",,,,,,
2004,NV,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"9,920",,,,,,
2004,NV,"Electric Generators, Independent Power Producers",Natural Gas,"9,714,695",,,,,,
2004,NV,"Electric Generators, Independent Power Producers",Petroleum,0,,,,,,
2004,NV,"Electric Generators, Electric Utilities",Total,"24,246,391",,,,,,
2004,NV,"Electric Generators, Electric Utilities",Coal,"18,257,265",,,,,,
2004,NV,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,605,203",,,,,,
2004,NV,"Electric Generators, Electric Utilities",Natural Gas,"4,288,157",,,,,,
2004,NV,"Electric Generators, Electric Utilities",Petroleum,"95,766",,,,,,
2004,NV,"Combined Heat and Power, Electric Power",Total,"2,398,924",,,,,,
